Mouhamed Gueye	F	6-11	210	21	ATL	6	0	Washington State	2023 Rnd 2 Pick 9	Senegal
Rui Hachimura	F	6-8	230	26	LAL	68	4	Gonzaga	2019 Rnd 1 Pick 9	Japan
Ashton Hagans	PG	6-3	190	24	POR	19	1	Kentucky	2020 NBA Draft, Undrafted	United States
Tyrese Haliburton	PG	6-5	185	24	IND	69	3	Iowa State	2020 Rnd 1 Pick 12	United States
R.J. Hampton	G	6-4	175	23	MIA	8	3	New Zealand (New Zealand)	2020 Rnd 1 Pick 24	United States
Tim Hardaway Jr.	SG	6-5	205	31	DAL	79	10	Michigan	2013 Rnd 1 Pick 24	United States
James Harden	SG	6-5	220	34	LAC	72	14	Arizona State	2009 Rnd 1 Pick 3	United States
Jaden Hardy	SG	6-3	198	21	DAL	73	1	NBA G League Ignite	2022 Rnd 2 Pick 7	United States
Ron Harper Jr.	G	6-6	238	23	TOR	1	1	Rutgers	2022 NBA Draft, Undrafted	United States
Gary Harris	SG	6-4	210	29	ORL	54	9	Michigan State	2014 Rnd 1 Pick 19	United States
Joe Harris	SG	6-6	220	32	DET	16	9	Virginia	2014 Rnd 2 Pick 3	United States
Kevon Harris	SF	6-5	216	26	ORL	2	1	Stephen F. Austin	2020 NBA Draft, Undrafted	United States
Tobias Harris	F	6-8	226	31	PHI	70	12	Tennessee	2011 Rnd 1 Pick 19	United States
Shaquille Harrison	G	6-4	195	30	MEM	3	6	Tulsa	2016 NBA Draft, Undrafted	United States
Josh Hart	SG	6-4	215	28	NYK	81	6	Villanova	2017 Rnd 1 Pick 30	United States
Isaiah Hartenstein	PF	7-0	250	25	NYK	75	5	Zalgiris (Lithuania)	2017 Rnd 2 Pick 13	United States
Sam Hauser	SF	6-7	217	26	BOS	79	2	Virginia	2021 NBA Draft, Undrafted	United States
Jordan Hawkins	G	6-5	195	21	NOP	67	0	UConn	2023 Rnd 1 Pick 14	United States
Jaxson Hayes	PF	7-0	220	23	LAL	70	4	Texas	2019 Rnd 1 Pick 8	United States
Killian Hayes	G	6-5	195	22	DET	42	3	Ratiopharm Ulm (Germany)	2020 Rnd 1 Pick 7	France
